feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
120,20,338,438,535,60,7,43,7
120,20,338,438,535,60,7,7,43
120,20,338,438,535,60,43,7,5
120,20,338,438,535,60,5,43,43
120,20,338,438,535,60,43,5,7
120,20,338,438,535,60,7,43,5
120,20,338,438,535,60,5,7,7
120,20,338,438,535,60,7,5,43
120,20,338,438,535,60,43,7,7
120,20,338,438,535,60,7,43,43
120,20,338,438,535,60,43,7,3
120,20,338,438,535,60,3,43,5
120,20,338,438,535,60,5,3,64
120,20,338,438,535,60,64,5,3
120,20,338,438,535,60,3,64,64
120,20,338,438,535,60,64,3,64
120,20,338,438,535,60,64,64,104
120,20,338,438,535,60,104,64,64
120,20,338,438,535,60,64,104,104
130,20,339,439,536,60,0,0,25
130,20,339,439,536,60,25,0,2
130,20,339,439,536,60,2,25,25
130,20,339,439,536,60,25,2,25
130,20,339,439,536,60,25,25,25
130,20,339,439,536,60,25,25,32
130,20,339,439,536,60,32,25,2
130,20,339,439,536,60,2,32,25
130,20,339,439,536,60,25,2,25
131,20,340,440,537,60,0,0,16
132,20,341,441,538,60,0,0,95
132,20,341,441,538,60,95,0,95
133,20,342,442,539,60,0,0,17
133,20,342,442,539,60,17,0,108
133,20,342,442,539,60,108,17,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
133,20,342,442,539,60,108,108,108
10,20,30,443,50,60,0,0,17
10,20,30,443,50,60,17,0,17
10,20,30,443,50,60,17,17,17
10,20,30,443,50,60,17,17,17
113,20,343,444,540,60,0,0,21
113,20,343,444,540,60,21,0,37
113,20,343,444,540,60,37,21,38
113,20,343,444,540,60,38,37,48
134,25,344,445,512,60,0,0,7
134,25,344,445,512,60,7,0,3
134,25,344,445,512,60,3,7,7
135,20,345,446,541,60,0,0,61
135,20,345,446,541,60,61,0,3
135,20,345,446,541,60,3,61,109
135,20,345,446,541,60,109,3,3
135,20,345,446,541,60,3,109,64
135,20,345,446,541,60,64,3,3
135,20,345,446,541,60,3,64,104
135,20,345,446,541,60,104,3,104
135,20,345,446,541,60,104,104,64
135,20,345,446,541,60,64,104,13
135,20,345,446,541,60,13,64,3
135,20,345,446,541,60,3,13,41
135,20,345,446,541,60,41,3,110
135,20,345,446,541,60,110,41,107
135,20,345,446,541,60,107,110,3
135,20,345,446,541,60,3,107,3
113,20,346,447,542,60,0,0,51
113,20,346,447,542,60,51,0,71
113,20,346,447,542,60,71,51,71
113,20,346,447,542,60,71,71,111
113,20,346,447,542,60,111,71,90
136,20,347,448,543,60,0,0,40
136,20,347,448,543,60,40,0,16
136,20,347,448,543,60,16,40,23
136,20,347,448,543,60,23,16,17
